user_id,tranche_age,objectif,format,thematique,niveau_lecture,frequence_lecture,moment_consomation,auteur_prefere,description,decouvertePrefrence,recommendations,num_recommendations
U001,25-34,apprendre,livre,science,avance,30-60,soir,Isaac Asimov,Science-fiction avec intelligence artificielle et futur dystopique,mix,Fondation - Isaac Asimov|Neuromancien - William Gibson|Les Robots - Isaac Asimov|2001 L'Odyssée de l'Espace - Arthur C. Clarke,4
U002,35-44,seDivertir,livreAudio,romance,intermediaire,15-30,transport,Jane Austen,Histoires d'amour classiques et émouvantes,habitudes,Orgueil et Préjugés - Jane Austen|Raison et Sentiments - Jane Austen|Emma - Jane Austen,3
U003,18-24,apprendre,podcast,technologie,intermediaire,10-20,matin,,"Innovation technologique et startups",nouveautes,Podcast Tech Café|Podcast StartUp Nation|Podcast Silicon Valley Insider,3
U004,45-54,seDivertir,livre,historique,avance,60-90,weekend,Victor Hugo,Grands romans historiques français,habitudes,Les Misérables - Victor Hugo|Notre-Dame de Paris - Victor Hugo|Quatre-vingt-treize - Victor Hugo|Les Trois Mousquetaires - Alexandre Dumas,4
U005,25-34,apprendre,livreAudio,science,intermediaire,20-30,transport,Yuval Noah Harari,Histoire de l'humanité et sciences humaines,mix,Sapiens - Yuval Noah Harari|Homo Deus - Yuval Noah Harari|21 Leçons pour le XXIe siècle - Yuval Noah Harari,3
U006,18-24,seDivertir,livre,fantasy,debutant,30-60,soir,J.K. Rowling,Magie aventure et mondes fantastiques,nouveautes,Harry Potter à l'école des sorciers - J.K. Rowling|Harry Potter et la Chambre des Secrets - J.K. Rowling|Percy Jackson - Rick Riordan,3
U007,35-44,apprendre,podcast,histoire,intermediaire,30-45,transport,,Événements historiques et civilisations,mix,Podcast Autant en emporte l'Histoire|Podcast Franck Ferrand raconte|Podcast Histoire Vivante,3
U008,25-34,seDivertir,livreAudio,thriller,intermediaire,20-30,soir,Dan Brown,Mystères codes secrets et suspense,nouveautes,Da Vinci Code - Dan Brown|Anges et Démons - Dan Brown|Inferno - Dan Brown|Origine - Dan Brown,4
U009,45-54,seDetendre,livre,fiction,intermediaire,30-60,weekend,Paulo Coelho,Philosophie et quête de soi,habitudes,L'Alchimiste - Paulo Coelho|Le Pèlerin de Compostelle - Paulo Coelho|Manuscrit retrouvé à Accra - Paulo Coelho,3
U010,55-64,apprendre,livre,biographie,avance,60-90,apres-midi,Walter Isaacson,Biographies de personnalités influentes,mix,Steve Jobs - Walter Isaacson|Einstein - Walter Isaacson|Leonardo da Vinci - Walter Isaacson|Elon Musk - Walter Isaacson,4
